id,ids of components,two_components,relation type
4630,"[2567, 2735]","['Since the Council last met on 24 October to discuss\nUkraine (see S/PV.7287), Russia and the separatists\nit supports have repeatedly undermined and ignored\nthe Minsk agreements.', 'The ceasefire regime is\nnot being fully complied with']",no relation
4631,"[797, 732]","['the Crimean Tatar leader Mustafa Dzhemilev has been barred from returning home to Crimea.', 'Yatsenyuk submitted to the Rada some sort of draft constitution.']",no relation
4632,"[3249, 3289]","['Despite persistent claims to the contrary', 'We are confident in the full\nability of all the parties to implement the agreement,']",no relation
4633,"[3862, 4125]","['We stand\nready to work in any format that would have a chance\nof yielding genuine progress in favour of a settlement.', 'This runs totally counter to the logic\nand the letter of the Minsk agreements']",no relation
4634,"[121, 187]","['with armed men seizing control of Government buildings and erecting checkpoints and barricades in six different cities.', 'we call on all parties to exercise calm and restraint.']",no relation
4635,"[851, 1137]","['We recently read an article in The New York Times in which the Kuban Cossack Mozhaev declared his presence and that of an armed group from his region, which we had noticed in Crimea as well.', 'Orchestrated violence has today spread to Odessa.']",no relation
4636,"[3791, 4060]","['along with the ceasefire\nmemorandum of 19 September, have laid the foundations\nand established the criteria for a negotiated solution to\nthe crisis.', ""The release of all hostages and illegally detained\npersons, including Ukrainian political prisoners in\nRussia, will be a crucial benchmark for assessing\nRussia's readiness to embark on the de-escalation path.""]",no relation
4637,"[1685, 1872]","['Kyiv has not evacuated civilians from those areas.', 'Russian soldiers continue to die on Ukrainian\nsoil']",no relation
4638,"[2320, 2392]","['Militant leaders\nhave openly stated their intentions to violate the terms of\nthe ceasefire and their aim of capturing new territories,\nincluding the cities of Mariupol and Sloviansk.', 'I did not assert\nthat that was a definitive conclusion - certainly not\nyet - of the independent investigation, which is still\nlooking to establish what happened rather than who\nwas responsible.']",no relation
4639,"[1206, 1213]","['In a tragic twist of irony, in the middle of Europe two sisterly nations, two Slavic Orthodox nations, may start killing each other, both victims of ruthless manipulation through propaganda, orchestrated by the Kremlin.', 'We call for a return to calm and for de-escalation and full cooperation with the monitors affiliated with the Organization for Security and Cooperation in Europe (OSCE).']",no relation
4640,"[2155, 2344]","['On the humanitarian level, Chad notes that despite the\nMinsk agreement of 5 September, which includes the\nceasefire agreement,', 'Russia has instigated\na brutal insurgency in the Donbas region that has led\nto the loss of numerous lives, including the passengers\nof Flight MH-l7, shot down by a separatist missile.']",no relation
4641,"[3483, 3544]","['The\nlast week was the most difficult for Horlivka since\nlast summer: 107 people died, including 9 children.', 'The attack was just not\nanother refusal of the separatist leadership to abide by\nthe commitments made at Minsk']",no relation
4642,"[4049, 3790]","['Since the initial documents were signed,\nin September 2014, we have regularly initiated steps\naimed at silencing the weapons there.', 'We urge the parties to fully implement the\nMinsk agreements']",no relation
4643,"[1707, 1744]","['a commercial was aired showing the stamping out of insects with a map of eastern Ukraine in the background?', 'national and regional efforts are under way to find a political and diplomatic solution to the Ukrainian crisis.']",no relation
4644,"[2780, 2708]","['Kyiv is informed about\nevery humanitarian convoy fully and in good time', ""Russia's disdain for the internationally accepted\nnorms of behaviour, international law and the Charter\nof the United Nations is astounding, including the\nmanipulation of all things humanitarian.""]",no relation
4645,"[1963, 1666]","['President Putin said in Milan that he would not discuss\nOSCE monitoring of the border until the residents of\nthe Donbas are secure.', 'An open and impartial investigation of the incident is necessary.']",no relation
4646,"[2560, 2448]","['which proved to be orderly and peaceful.', 'Where\nRussia has made commitments, it has failed to\nmeet them.']",no relation
4647,"[38, 187]","['The events of the past two days have shown that,', 'we call on all parties to exercise calm and restraint.']",no relation
4648,"[1272, 1133]","['Owing to increasing threats to the civilian population, this morning the active phase of that counter-terrorism operation was renewed in the area of the cities of Sloviansk and Kramatorsk, where units of the Ministry of Internal Affairs, the National Guard and the Ukrainian Border Service were engaged.', 'This planned and coordinated destabilization could not happen without external support.']",no relation
4649,"[2829, 2892]","['which\nthreatens our territorial integrity and shows a tendency\nto transform into a ""frozen conflict""', 'Ukraine rejects any rumours about\nalleged additional agreements on this issue.']",no relation
4650,"[830, 964]","['Ukraine is demonstrating its commitment to constructive cooperation with human-rights institutions and international organizations.', 'Compromises are possible.']",no relation
4651,"[2320, 2465]","['Militant leaders\nhave openly stated their intentions to violate the terms of\nthe ceasefire and their aim of capturing new territories,\nincluding the cities of Mariupol and Sloviansk.', 'That is what\nthe separatist democracy looks like.']",no relation
4652,"[4331, 4502]","['the Russian\nFederation effectively violated the United Nations\nCharter and all 10 principles of the Helsinki Final Act\nby resorting to armed aggression against the sovereign\nState of Ukraine, the illegal occupation of Crimea and\nhybrid warfare in Donbas.', 'We value cooperation between the United Nations\nand the OSCE on the ground']",no relation
4653,"[3814, 3539]","['Time and again, we have called on the Security\nCouncil to finally exercise its responsibilities under the\nCharter of the United Nations so as to prevent these\nterrorist groups from committing their crimes.', 'we saw the biggest single loss\nof civilian life in the Ukrainian crisis since the\ncommitments made at Minsk on 5 September last year.']",no relation
4654,"[1016, 1026]","['the same sudden appearance of unfamiliar men and new armaments', 'Yet in those same 63 days, Russia, day after day, has chosen to pursue more territory.']",no relation
4655,"[2464, 2257]","['Defendants are not given lawyers and their\njudges are whatever members of the community show\nup, who vote by a simple show of hands.', 'some members of\nthe Security Council have, as is their custom, expressed\nunqualified support for all of the actions of the Kyiv\nauthorities, even though the latter represent the party of\nwar.']",no relation
4656,"[3072, 3064]","['Yet Russia has\ntaken none of the steps set out in Minsk.', ""Let us pull the veil\naway from Putin's peace plan and call it for what it is: a\nRussian occupation plan.""]",no relation
4657,"[2581, 2635]","['despite\nthe fact that its attempts at deception turned to farce\nonly yesterday when Russian television station NTV\nbroadcast footage of an armoured personnel carrier\nat the head of a column in Donetsk bearing markings\nfrom the Russian city of Ryazan.', 'It is essential to quickly reach full\ncompliance with the ceasefire and pursue further\nnegotiations on the provisional status of the regions of\nthe east.']",no relation
4658,"[3177, 3211]","['They hushed up the topic, waxed poetic\nand squabbled about the number of victims required to\nqualify the situation as a ""humanitarian crisis"".', 'The parameters necessary for\nan end to the crisis are now known to all - namely,\nthe Minsk agreements.']",no relation
4659,"[2630, 2637]","['The separatist agitation helped from outside the country\nhas spread to the eastern part of Ukraine, first in\nCrimea - annexed in violation of the law - and then\nin the Donbas region, causing disturbances, human\nrights violations and a serious humanitarian situation.', 'These agreements remain a good\nbasis forbringing about an end to the crisis based on three\nprinciples: respect for the ceasefire, monitoring of the\neastern border of Ukraine, and political discussions for\nthe purposes of finding a lasting solution.']",no relation
4660,"[3333, 3304]","['Do\ntheir families know where they are?', 'Every day of the past year has been traumatic\nfor the Ukrainian people.']",no relation
4661,"[3137, 2947]","['Let me recall\nBandera\'s words: ""I will kill every Pole from 16 to 60\nyears of age"".', 'This is about trust.']",no relation
4662,"[2304, 2491]","['Immediately after the signing of the Minsk\n\nprotocol, the Ukrainian Government moved quickly to\nimplement the agreement.', ""In that\ncontext, we commend the OSCE Special Monitoring\nMission for its continuing role in verifying the ceasefire\non Ukraine's eastern border.""]",no relation
4663,"[2294, 2219]","['Occupation authorities\nhave also encouraged criminal acts against Crimean\nTatars and others belonging to national minorities and\nreligious groups.', 'Against that background, our concern about\nUkraine arises from the growth of neo-Nazi sentiment\nthere, encouraged by authorities in Kyiv.']",no relation
4664,"[1017, 1181]","['the same strategy of occupying buildings and taking control ofthe media', 'Peaceful protesters do not take their morning walks armed with heavy weapons and automatic weapons.']",no relation
4665,"[744, 654]","['People do not want a repeat of the Kyiv scenario.', 'The Geneva declaration of 17 April cannot remain a dead letter.']",no relation
4666,"[861, 1009]","['I would like to remind the Council that Russia used to deny that its armed forces participated in the occupation of Crimea.', 'Ukraine has continuously, day after day, shown remarkable, almost unimaginable, restraint.']",no relation
4667,"[1936, 2069]","['They are the ones being forced to live\nwith no water or electricity and no opportunity to earn\na living, and their children are the ones whose schools\nare in the crossfire.', 'Australia supports the ongoing work of the Office of the\nHigh Commissioner for Human Rights on the human\nrights situation in Ukraine']",no relation
4668,"[779, 921]","['As many noted earlier, yesterday and today saw more violent attacks in the city of Luhansk and elsewhere - in Mykolaiv and in Konstiantynivka - where men armed with clubs and metal bars smashed windows and doors.', 'her statement can only be characterized as provocative and inflammatory.']",no relation
4669,"[4298, 4473]","['It has lived up to the responsibility\nthat falls upon it by rapidly deploying monitoring\nmissions and subsequently assuming a central role in\nensuring the implementation of the Minsk agreements,\nwhich remain the only way forward for a peaceful\nsettlement of the conflict.', 'We welcome the most recent recommitment to\nthe ceasefire by the Trilateral Contact Group.']",no relation
4670,"[2617, 2663]","['We hope\nthat all parties will continue to engage in constructive\ndialogue with a View to agreeing on a balanced, lasting\nand comprehensive political solution.', 'It is urgent that the\nceasefire be fully respected, monitored and verified by\nthe OSCE Special Monitoring Mission, in accordance\nwith the provisions of the Minsk agreements.']",no relation
4671,"[2776, 2996]","[""How\ncan there be any talk of trust from ordinary people's\npoint of view when their homes being bombed and they\nthemselves lack the wherewithal to live?"", 'The Ukrainian- Russian State\nborder must be secured.']",no relation
4672,"[3403, 3243]","['We have a right to defend ourselves.', 'The human rights situation gives equal cause for\nconcern']",no relation
4673,"[2904, 3066]","['They undermine any trust placed\nin signatories who fail to keep their word.', 'If Russia is serious about peace, it should follow\nthrough on Minsk, to which it had agreed more than\nfour months ago.']",no relation
4674,"[2702, 2787]","['The list could go on.', 'They pose no threats to the\nMinsk agreements and the peace process.']",no relation
4675,"[3178, 3267]","['Today\nthere is no room for demagoguery.', 'The withdrawal of\nthose forces is fundamental to the Minsk agreement and\nthe only way to secure the future territorial integrity of\nUkraine.']",no relation
4676,"[965, 970]","['Ukraine is aware of the stakes and is ready, and the countries of Europe, the most closely concerned in this crisis, are too.', 'This is yet again a gross distortion of the facts.']",no relation
4677,"[1839, 1912]","['Russia has often\nclaimed to have concerns about the rights of minority\npopulations in Ukraine, but we see no evidence of that\nconcern for the rights of the Tatars in Crimea.', 'it is also essential to establish\naccountability for the human rights violations and\nabuses that have taken place during the war against\nUkraine.']",no relation
4678,"[2155, 2332]","['On the humanitarian level, Chad notes that despite the\nMinsk agreement of 5 September, which includes the\nceasefire agreement,', 'we are simply urging Russia and its pro-Russian\nseparatist allies to live up to the agreements they freely\nentered into.']",no relation
4679,"[32, 39]","['The enemy is prevailing in our land.', 'following our many calls for the organization of inclusive national political dialogue, a measure of common sense has prevailed in Kyiv.']",no relation
4680,"[1299, 1054]","['There were no calls to President Yanukovych to use every possible means at his disposal as lawful President, including that of force, in order to impose order in the country.', 'Since the beginning of the crisis, the Ukrainian Government has acted in good faith and with admirable restraint.']",no relation
4681,"[381, 199]","['Sergei Lavrov, has been talking to Secretary of State Kerry on the phone almost every day.', 'It is vital to allow the diplomatic efforts that have already been deployed to work.']",no relation
4682,"[3118, 3087]","['a number of countries actively\nsupporting the ""war party"" in Kyiv irresponsibly\nprovided Ukraine with military-purpose items.', 'And Russia is consistently working\nto put those frozen conflicts under a deeper freeze.']",no relation
4683,"[401, 383]","['If armed force is used and hostilities take place tomorrow, are we really going to sign off on that meeting?', 'And then suddenly one ofthe United States Deputy Secretaries of State gets up in Congress and says, we know that these talks will not lead anywhere, but we have to occupy the time somehow.']",no relation
4684,"[3711, 3525]","['Last week, the Security\nCouncil held a public meeting on the question of\nUkraine (see S/PV.7365).', 'We would have avoided a new cycle of\nconfrontation had the Ukrainian authorities accepted\nthe 15 January proposal of Russian President Vladimir\nPutin on the immediate withdrawal of heavy weaponry.']",no relation
4685,"[2006, 2165]","['Those efforts testify to our collective commitment\nto resolve the crisis in Ukraine.', 'It is a dire moment.']",no relation
4686,"[1139, 968]","['There are kidnappings and torture.', 'What we need today is not a vodka-loving James Bond but diplomats who can return to the principles that form the foundations of international life.']",no relation
4687,"[1305, 1224]","['We still believe that many of the 25 February positions are right', 'Rebels and all active stakeholders in Ukraine should refrain from racist or hate speech.']",no relation
4688,"[3804, 3928]","['If militants and Russia had complied with the\nMinsk agreements', 'so it is incumbent upon both\norganizations to work closely together to advance peace\nand security, and in doing so to uphold the Charter of\nthe United Nations and the Helsinki principles.']",no relation
4689,"[124, 179]","['We have all seen the video footage of events over the weekend: professional, well-armed and well-equipped units wearing identical uniforms conducting coordinated military operations against Ukrainian State institutions.', 'Our message has always been clear that the presidential election scheduled for 25 May must be free and transparent and guaranteed by the presence of international observers.']",no relation
4690,"[2057, 2226]","['the ceasefire continues\nto be repeatedly violated, particularly by the separatists', 'It is particularly unacceptable to see such\nactions on the eve of the seventieth anniversary of the\nvictory in the Second World War.']",no relation
4691,"[2164, 2171]","['As for the internally displaced persons, Ukraine\nhas over 400,000.', 'Chad condemns\nall acts of violence and violations of human rights and\ninternational humanitarian law.']",no relation
4692,"[4305, 4067]","['We remain convinced more than ever that the OSCE\nand its field missions have an essential role to play in\nensuring the practical implementation of decisions\ntaken at the political level.', 'Today, the principles and commitments\nembodied by the OSCE face some serious challenges,\nboth from inside and outside the organization.']",no relation
4693,"[1314, 1209]","['It was noticeable that for a long period - almost two months after the overthrow of the lawful Government - no one there took up arms for at least a couple of months.', 'We hae to let it work.']",no relation
4694,"[1589, 1296]","['The escalation of violence in recent days, until its tragic climax yesterday, demonstrates once again that active armed groups in eastern Ukraine are actually well-equipped and well-trained paramilitary forces who enjoy clear external support.', 'This time that has led to serious destabilization in Ukraine.']",no relation
4695,"[2164, 1999]","['As for the internally displaced persons, Ukraine\nhas over 400,000.', 'France, together with\nits European partners, will continue to support that\nengagement between the Russians and the Ukrainians,\nin particular within the framework of the format agreed\nin Normandy in June.']",no relation
4696,"[2582, 2374]","['If Russia is not\nsupplying separatists across the border, then why does\nit continue to block any expansion of OSCE border\nmonitoring?', 'why not publish them just\nto demonstrate transparency?']",no relation
4697,"[195, 435]","['Although Rwanda agrees in principle that Ukraine, like any other country, has a right to self-defence and to promote its territorial integrity, its acts should be proportional.', 'That would be the right thing to do.']",no relation
4698,"[3488, 3368]","['That is far from a comprehensive list of all the\ncities under the control of self-defence formations in\nwhich civilians are dying every day.', 'I have yet to hear\nmy Ukrainian colleagues raise the subject of inclusive\npolitical dialogue.']",no relation
4699,"[70, 26]","[""Ukraine's acting President Turchinov has decided to prepare a law on decentralization, granting more powers to the regions."", 'Such scenarios will also have repercussions for the entire international community.']",no relation
4700,"[1861, 1574]","['The\nUkrainian authorities are taking steps to ensure that as\nmany Ukrainian citizens as possible can exercise their\nright to vote, including by putting in place arrangements\nfor people displaced from their homes by the instability\nin the east and those from the illegally annexed territory\nof Crimea.', 'those efforts must be redoubled']",no relation
4701,"[2809, 2571]","['It\nwas encouraging to note the report from the OSCE\naffiliated Office for Democratic Institutions and\nHuman Rights praising the conduct of the Ukrainian\nparliamentary elections and the impartial and efficient\nCentral Election Commission.', 'Russia continues to supply its soldiers in\nUkraine and the separatists they fight alongside with\nheavy weaponry, artillery, tanks and armoured vehicles\nin flagrant breach of the Minsk protocols.']",no relation
4702,"[4512, 4550]","['There was absolutely\nno desire for reconciliation with the new authorities\nin Crimea or eastern Ukraine.', 'Collective security requires collective\nmaintenance.']",no relation
4703,"[4527, 4382]","['and they have\ncreated an atmosphere of totalitarian suppression of\nall opposition voices.', 'A frank and open dialogue among\nparticipating States, aimed at restoring respect for our\ncommonly agreed principles and commitments - as\nenshrined, most notably, in the Helsinki Final Act and\nthe Paris Charter - is needed.']",no relation
4704,"[3020, 3147]","['Since President Poroshenko announced the\nunilateral silence regime on 9 December, which brought\nabout a brief respite from the violence, separatists and\nthe Russians who backed them have carried out more\nthan 1,000 attacks against Ukrainian positions.', 'Indeed, it\nis very strange that those who claim to be civilized can\ntolerate such a subversive ideology.']",no relation
4705,"[1983, 1862]","['The situation this summer led to a significant\nincrease in casualties, both civilian and military, and\nto an increase in violations of human rights, including\nrecourse to torture, summary executions and abductions.', 'Our expectation is that Russia, as a permanent\nmember of the Security Council and as a party to\nthe Minsk agreements, will work to restore peace\nand security in Ukraine by respecting the outcome\nof the elections and by supporting the forthcoming\nlocal elections held under Ukrainian law.']",no relation
4706,"[3605, 3696]","['Debaltsevo is a strategic rail and road hub and\nserves as a key link between the Donetsk and Luhansk\nregions.', 'The attacks\nagainst civilians are a flagrant violation ofinternational\nlaw.']",no relation
4707,"[698, 427]","['Pursuant to those declarations, real Ukrainians should have collaborated with Hitler to establish a new order in Europe.', 'There is a difference there.']",no relation
4708,"[2924, 2831]","['In 1991, Croatia began the war and it\nended in 1995 as a result of successful special\noperations.""', 'Ukraine remains devoted to the settlement of the\nconflict through diplomatic means.']",no relation
4709,"[2006, 2292]","['Those efforts testify to our collective commitment\nto resolve the crisis in Ukraine.', 'We continue to be gravely concerned about the\nmassive and systematic violations of human rights\nin illegally occupied Crimea.']",no relation
4710,"[360, 556]","['Why were they not called terrorists?', 'we stand ready to help Ukraine emerge from this difficult situation so that it can achieve the peace that its people deserve.']",no relation
4711,"[3556, 3578]","['Despite the commitments made\nat Minsk to securing continuous monitoring of the\nborder with verification from the OSCE,', 'It must play its full part\nin ensuring the immediate implementation of the Minsk\nprotocol.']",no relation
4712,"[764, 878]","[""adding to the growing list of breaches of Russia's international commitments, such as the Helsinki Final Act, the 1991 Almaty Declaration, the Budapest Memorandum of 1994, the Treaty of Friendship and Cooperation between Russia and Ukraine of l997 and the Charter of the United Nations itself."", 'The highest level of cynicism is the Russian reference to the right of self-defence']",no relation
4713,"[694, 616]","['almost immediately following the declarations and actions of the Kyiv Government authorities', 'It is unacceptable to target international observers who are working to de-escalate the volatile situation.']",no relation
4714,"[1435, 1187]","['most Council members and most members of the international community have been warning for months about the devastation that would come if Russia did not stop what it started - if it did not reign in what it unleashed', 'none of that would be happening.']",no relation
4715,"[77, 188]","['when the existence of a State is put in danger,', 'The danger that now faces us is the failure of all our concerted efforts to build an international order that is not based on force, for today it is force alone that is seeking to impose the law.']",no relation
4716,"[2312, 2508]","['only two border crossings\nare monitored by the OSCE.', 'Jordan believes that the military build-up and the\nillegal flow of weapons into Ukraine, as stated in the\nreport of the Organization for Security and Cooperation\nin Europe, are violations of the Minsk agreements.']",no relation
4717,"[90, 259]","['The Council has heard, these last weeks, Russia disclaim any intention of occupying or invading.', 'constructive dialogue sought and\nestablished on an urgent basis']",no relation
4718,"[3060, 2763]","['On Thursday, President Putin issued a last-minute\ninvitation to President Poroshenko to discuss a new\nRussian-conceived so-called peace plan - a plan that\nwould free Russia from the commitment it made in\nMinsk to withdraw its fighters and return control over\nthe international border to Ukraine.', 'We believe that the full, thorough compliance of\nthe parties to the conflict with the Minsk agreement\nis essential.']",no relation
4719,"[2360, 2249]","['the Minsk protocol presupposes a\ncertain sequence of steps that needs to be followed.', 'It is essential to investigate objectively and\nthoroughly the graves of peaceable citizens found in\nNyzhnia Krynka.']",no relation
4720,"[3485, 3467]","['Hospitals, 15 schools and dozens of preschools have\nbeen damaged.', ""Russia's\nwar, Russia's proxies and the abysmal lawlessness they\nimposed have brought destruction, displacement and\ndeath to the region.""]",no relation
4721,"[77, 20]","['when the existence of a State is put in danger,', 'The Secretary-General further appeals for direct and constructive dialogue between the parties, and between Kyiv and Moscow, to de-escalate the situation and address all differences.']",no relation
4722,"[933, 924]","['They enjoy no crowds of supporters other than a few hundred demonstrators.', 'the categorical refusal of Washington, DC, to support the continuation of dialogue between the representatives of Kyiv and of south-eastern Ukraine, under the auspices ofthe OSCE, would hardly seem coincidental in its contravention of the Geneva declaration fo 17 April.']",no relation
4723,"[2839, 2592]","['Since 5 September, Ukrainian forces and civilians have\nbeen shelled over 2,800 times.', ""Russia's refusal to disavow the\nelections is a continuation of a pattern of Russian\nbehaviour that flouts the Minsk agreements and is\ndesigned to destabilize the situation in Ukraine.""]",no relation
4724,"[3478, 3365]","['Just over the past week,\nat least 27 civilians have died and 71 people have\nbeen injured, and 105 residences and 3 hospitals, as\nwell as 2 kindergartens and 3 schools, have also been\ndestroyed.', 'the Ukrainian\ndelegation has never uttered a respectful word and has\nactually been insulting when referring to the south-\neastern part of his country.']",no relation
4725,"[3048, 3315]","['The conclusion of the impartial OSCE monitoring\nmission is that the craters at the crime scene were\ncaused by rockets fired from the north-north-east\ndirection from the checkpoint.', 'the Russian side\nand Russian-backed terrorists have persistently and\nbrutally violated the Minsk provisions.']",no relation
4726,"[3294, 3115]","['which has\nprimary responsibility for aiding and protecting its\npeople.', 'The current escalation of the situation in Donbas is\nhardly fortuitous.']",no relation
4727,"[1558, 1712]","['Council members have consistently called for a de-escalation of tensions, for separatists to lay down their weapons and for genuine dialogue to commence.', 'It appears that Kyiv would like to enlist the support of European structures and then give it to its lucky people.']",no relation
4728,"[2403, 2454]","['I have not heard from the Russian\ndelegation a firm willingness to comply strictly with\nthe Minsk arrangements, to which it is a party.', 'But if Russia and the separatists\nintended the elections to cast a veneer of legitimacy\non their actions, they failed.']",no relation
4729,"[2975, 2742]","[""How on Earth, but for Russia's continued supply,\ncould a ragtag bunch of illegal militants obtain such\nan impressive arsenal of sophisticated heavy weaponry\nand arms, which by now could well rival the arsenals of\nthe smaller European States?"", 'There\nis systematic shelling in residential areas of Donetsk\nnear the airport.']",no relation
4730,"[1444, 1334]","['Ukrainian forces have discovered large amounts of other Russian-provided military equipment, including accompanying documentation verifying Russian origin, in the areas they have liberated from separatists in recent days.', 'I would repeat that Russia would never refuse to implement any useful document agreed upon during the crisis, including the 21 February agreement.']",no relation
4731,"[2890, 3038]","['The new law was adopted by the\nUkrainian Parliament on 16 September.', 'Time and again, President\nPutin has extended an olive branch in one hand while\npassing out Grad missiles and tanks with the other.']",no relation
4732,"[1624, 1439]","['Weapon systems with significant firepower are being used, which can lead to tragic blunders', 'Time after time, President Putin has committed to working towards dialogue and peace - in Geneva in April, in Normandy in June and in Berlin earlier this month - and every single time he has broken that commitment.']",no relation
4733,"[2885, 2708]","['That would contribute to\nestablishing effective border verification by the OSCE,\nas foreseen in the Minsk agreements.', ""Russia's disdain for the internationally accepted\nnorms of behaviour, international law and the Charter\nof the United Nations is astounding, including the\nmanipulation of all things humanitarian.""]",no relation
4734,"[942, 840]","['they were able to shoot down a helicopter with a surface-to-air missile - which, it must be acknowledged, is not commonly found at the Kharkiv market.', 'Ukrainian counter-terrorism operations are targeted exclusively at illegal armed groups threatening civilians.']",no relation
4735,"[1603, 1689]","['Given this tragedy and the already chaotic situation', 'That figure continues to grow daily.']",no relation
4736,"[3118, 2867]","['a number of countries actively\nsupporting the ""war party"" in Kyiv irresponsibly\nprovided Ukraine with military-purpose items.', 'We demand that Russia explain here and\nnow why it needs to maintain 200 tanks, 1,600 vehicles,\n640 artillery units, 191 attack aircraft and 121 attack\nhelicopters on our borders.']",no relation
4737,"[3069, 2769]","['stop backing the separatists', 'The law\nwas not ideal and had limited legitimacy']",no relation
4738,"[1799, 1564]","[""Today's statement by the Russian Foreign Minister, Sergey Lavrov, about the possibility of carrying out strikes against the territory of Ukraine sounds like a new provocation."", 'They has every right to restore law and order']",no relation
4739,"[192, 238]","['After numerous calls for the de-escalation of the crisis, the situation has become more complex for the diverse Ukrainian community.', 'can take place successfully only on that basis']",no relation
4740,"[335, 548]","['Only a few weeks have passed since part of the territory of Ukraine was annexed by the Russian Federation.', 'That is, that in the dialogue of constructive diplomacy that was initiated on 17 April with a view to finding a peaceful and political solution to this critical situation, Russia, the United States, the European Union and Ukraine all expressed at Geneva a willingness to reach an agreement.']",no relation
4741,"[2336, 2139]","['due to the security situation in the\neast, parliamentary elections can be held in 11 of\n21 constituencies of the Donetsk region and in 4 of\n11 constituencies of the Luhansk region.', 'we reiterate our call on all\nillegal armed groups in Ukraine, mainly in the Donetsk\nand Luhansk regions to lay down their arms']",no relation
4742,"[1008, 811]","['As its country has been carved up, as foreign operatives have moved into its homeland, as masses of Russian troops have assembled along its eastern border, and as Moscow has continued to threaten its territorial integrity and its people', ""The intent here could not be more clear - it is to prevent Ukraine's return to normality.""]",no relation
4743,"[103, 147]","['The synchronized surgical seizure of buildings yesterday occurred in towns along the main highway, followed by armed roadblocks, almost as ifa coordinated barrier were being formed between Kyiv and the major eastern cities of Donetsk and Luhansk.', ""If Russia really has genuine concerns about Ukraine's Russian-speaking population, then its actions have done nothing to safeguard their interests.""]",no relation
4744,"[1617, 1825]","['Weapons never used until now have begun to be used and have struck Ukrainian territory.', 'the situation continues to present a clear threat to\ninternational peace and security.']",no relation
4745,"[1440, 1362]","['In the past few weeks, Russia has increased the number of tanks, armoured vehicles and rocket launchers in south-west Russia.', 'the United States looked favourably on the forceful change of power, which did not ultimately serve the interests of the Ukrainian people.']",no relation
4746,"[2530, 2257]","['We are also concerned\nabout the increased movements of military convoy in\nseparatist-controlled areas heading for Ukrainian army\npositions.', 'some members of\nthe Security Council have, as is their custom, expressed\nunqualified support for all of the actions of the Kyiv\nauthorities, even though the latter represent the party of\nwar.']",no relation
4747,"[4178, 3972]","['Russia\ncannot do it for Ukraine.', 'The\nUnited Nations and the Security Council should, in\naccordance with the provisions of the Charter of the\nUnited Nations, continue to deepen cooperation with\nregional and subregional organizations so as to be\nmutually complementary in their efforts to jointly\nuphold the Charter and the basic principles guiding\ninternational relations.']",no relation
4748,"[3094, 2880]","['If\nRussia succeeds in achieving its aims', 'Ukraine has\nrendered all necessary assistance to the OSCE Special\nMonitoring Mission in Ukraine to effectively implement\nits mandate.']",no relation
4749,"[2267, 2100]","['The President also signed a decree initiating work\non developing a national human rights strategy.', 'Those\npurported elections can have no legitimacy.']",no relation
4750,"[2102, 2093]","[""The report again draws the Council's attention\nto disturbing, multiple and ongoing human rights\nviolations in the illegally annexed territory of Crimea,\nincluding the imposition ofRussian laws that restrict the\nfreedoms of expression, peaceful assembly, association\nand religion."", 'they should cease.']",no relation
4751,"[2922, 2861]","['Markiyan Lubkivsky, an adviser to the head of the\nSecurity Service of Ukraine, also said on the national\nradio, on 2 November and again on 7 November:\n\n""Sooner or later, we are going to have to engage\nin very proactive activities"" and that ""we will need\nthree or four years to resolve the situation.', 'It means that somebody else\nin Russia has attack aircraft and helicopters that are\ncontinually violating our State air border.']",no relation
4752,"[3078, 3148]","['Of course, the Ukrainian Government must abide\nby international norms, even as it defends its land\nand its people.', 'This is the ideology\nguiding Kyiv\'s so-called ""anti-terrorist"" operations,\nwhich are, in reality, punitive operations.']",no relation
4753,"[2939, 3182]","['I\nwould just remind our Russian colleague, citing one of\nthe most famous Russian writers, Turgenev', 'At the same time, we continue to seek agreement with\nKyiv, in spite of its obstruction, on the conditions for the\nprovision of such supplies.']",no relation
4754,"[3422, 3368]","[""More than 5,000 dead, some\n11,000 injured and about 1.5 million displaced - such\nis the cost of Russia's continued aggression against\nUkraine."", 'I have yet to hear\nmy Ukrainian colleagues raise the subject of inclusive\npolitical dialogue.']",no relation
4755,"[2890, 3013]","['The new law was adopted by the\nUkrainian Parliament on 16 September.', 'the separatists trained, supplied and supported by\n\nRussia are launching a full-scale attack on the strategic\ncity of Debaltseve, inside Ukrainian-controlled\nterritory, in blatant violation of the 19 September\nMinsk ceasefire lines, in an attemp to gain control\nof a significant rail juncture.']",no relation
4756,"[1000, 885]","['There is horrible violence in eastern Ukraine, and that violence is coming, as it has been for weeks now, from Russian-directed agents and paramilitaries and their associates.', 'Unfortunately, I must say that such a scenario is realistic,']",no relation
4757,"[1790, 1627]","['Several times a day, columns of military vehicles and Russian mercenaries attempt to break through the Ukrainian State border from the Russian side.', 'All those events point to the pressing need for full cooperation by the international community in order to stabilize Ukraine and ensure its sovereignty and territorial integrity.']",no relation
4758,"[1762, 1701]","['""In Torez, Ukraine, an AN-26 has been shot down.', 'They are trying to lay the blame on Russia for the catastrophe caused by the course chosen.']",no relation
4759,"[1873, 1791]","['soldiers who allegedly are not even there.', 'Such attempts are actively facilitated by Russian border protection units.']",no relation
4760,"[3711, 3833]","['Last week, the Security\nCouncil held a public meeting on the question of\nUkraine (see S/PV.7365).', 'Have they ever condemned the\ninhumane statements that we hear from the authorities\nin Kyiv?']",no relation
